"","WawInc","PostInc","WawInc.1","PostInc.1"
"1",0.43,"0.39(0.26, 0.48)",0.087,"0.093(0.056, 0.14)"
"2",0.15,"0.14(0, 0.43)",0.07,"0.071(0.022, 0.14)"
"3",0,"0(0, 0.4)",0.11,"0.073(0.019, 0.18)"
"4",0.14,"0(0, 0.67)",0.067,"0.048(0, 0.21)"
