"","EHMacute","acute.sc","dur.ac","het.gen.sd","bp"
"2.5%",-0.556761867312614,0.687115948025804,0.542511464869506,1.1020340293911,0.014803262073415
"50%",7.67783208409987,4.98757366606853,1.58132415538053,2.10585148327904,0.0848058776825364
"97.5%",65.6150645838226,61.0156965433193,7.01926771545907,2.85364212295351,0.646461483777694
