"","EHMacute","acute.sc","dur.ac","het.gen.sd","bp"
"2.5%",-1.37452148962058,0.55708081776126,0.524652881359644,0.916188987891655,0.00597947560246312
"50%",10.0765115995146,6.06679057314219,1.77609303564466,2.20650666346774,0.0879100578492436
"97.5%",224.826240243943,143.209068881798,7.31838021299123,2.95245879797149,1.44677097817661
