"","EHMacute","acute.sc","dur.ac","het.gen.sd","bp"
"2.5%",-0.337007893460044,0.725652562796354,0.534450311867169,1.04956791169302,0.0126074969997638
"50%",7.5756618732224,5.13803198001167,1.55448486972505,2.09933171005845,0.0838317703604427
"97.5%",62.0475641398712,63.3234848058016,6.44513457243669,2.88278464043852,0.749196133119906
