"","EHMacute","acute.sc","dur.ac","het.gen.sd","bp"
"2.5%",-1.16408285578748,0.584389594842624,0.535905901475194,0.0745195050432812,0.00184256805227108
"50%",17.5648439868976,9.81339722166135,2.03100390068133,1.50861816492397,0.106347440126439
"97.5%",632.942697098838,172.588598166679,7.486595798639,2.92338640931994,6.01174164906458
