"","sigma","hlci","hmed","huci","wlci.m","wmed.m","wuci.m","wlci.u","wmed.u","wuci.u"
"sig0",0,12,36.4,99.5,2.7,16,59.3,9.3,29.7,95.4
"sig0.5",0.5,10.8,34.7,89.5,2.3,14.7,55.1,8.4,27.7,79.6
"sig1",1,8.1,26.7,77.3,1.7,11.7,40.4,6.7,21.6,56.2
"sig1.5",1.5,6.8,25.6,74.2,0.3,9.3,36.7,4.7,18.5,51
"sig2",2,4.6,21.7,60.3,0,7.1,29.2,2.7,15.3,39.1
"sig2.5",2.5,4.6,19.2,50.1,0,5.3,25,1.4,12.6,33.8
"sig3",3,6.2,15.1,36.4,0,5.4,18.7,2.8,10.4,24.3
