days,logvl
2.99103,4.4071
7.45763,5.70355
10.9671,6.33073
15.1147,6.24233
17.9063,5.56464
21.8943,5.10583
25.7228,4.727
30.0299,4.50812
34.0179,4.33554
41.9143,4.18821
51.007,4.30186
63.9282,4.09561
100.778,3.88094
178.066,3.71257
