days,logvl
1.07677,2.73181
4.90528,4.46182
7.77667,5.55622
10.8076,6.17498
15.7527,6.19603
18.9432,5.91822
21.8146,5.4552
25.6431,5.02165
28.9133,4.82381
39.9202,4.81539
46.9392,4.69333
57.7866,4.78172
90.9671,4.70595
170.887,4.63019
