stage,lvl
0.994469,1.84275
0.994469,2.50491
1,3.34767
1.01106,4.25061
0.991704,4.54085
1.97069,4.5602
1.98728,4.89558
1.97483,5.4051
1.98313,5.91462
1.97898,6.54023
2.97456,6.60473
2.97456,6.03071
2.96626,5.43735
2.97456,5.05037
2.96626,4.72789
3.97013,6.08876
3.97013,5.59214
3.97013,5.26966
3.97428,4.36026
3.97013,3.48956
4.96571,5.62439
4.96571,4.94717
4.96571,4.31511
4.96156,3.76689
4.95326,3.11548
5.94469,4.98587
5.94884,4.38606
5.95713,4.11517
5.94469,3.6637
5.94469,3.05743
